,col1
1051,1051
1052,1052
1053,1053
1054,1054
1055,1055
1056,1056
1057,1057
1058,1058
1059,1059
1060,1060
1061,1061
1062,1062
1063,1063
1064,1064
1065,1065
1066,1066
1067,1067
1068,1068
1069,1069
1070,1070
1071,1071
1072,1072
1073,1073
1074,1074
1075,1075
1076,1076
1077,1077
1078,1078
1079,1079
1080,1080
1081,1081
1082,1082
1083,1083
1084,1084
1085,1085
1086,1086
1087,1087
1088,1088
1089,1089
1090,1090
1091,1091
1092,1092
1093,1093
1094,1094
1095,1095
1096,1096
1097,1097
1098,1098
1099,1099
1100,1100
1101,1101
1102,1102
1103,1103
1104,1104
1105,1105
1106,1106
1107,1107
1108,1108
1109,1109
1110,1110
1111,1111
1112,1112
1113,1113
1114,1114
1115,1115
1116,1116
1117,1117
1118,1118
1119,1119
1120,1120
1121,1121
1122,1122
1123,1123
1124,1124
1125,1125
1126,1126
1127,1127
1128,1128
1129,1129
1130,1130
1131,1131
1132,1132
1133,1133
1134,1134
1135,1135
1136,1136
1137,1137
1138,1138
1139,1139
1140,1140
1141,1141
1142,1142
1143,1143
1144,1144
1145,1145
1146,1146
1147,1147
1148,1148
1149,1149
1150,1150
1151,1151
1152,1152
1153,1153
1154,1154
1155,1155
1156,1156
1157,1157
1158,1158
1159,1159
1160,1160
1161,1161
1162,1162
1163,1163
1164,1164
1165,1165
1166,1166
1167,1167
1168,1168
1169,1169
1170,1170
1171,1171
1172,1172
1173,1173
1174,1174
1175,1175
1176,1176
1177,1177
1178,1178
1179,1179
1180,1180
1181,1181
1182,1182
1183,1183
1184,1184
1185,1185
1186,1186
1187,1187
1188,1188
1189,1189
1190,1190
1191,1191
1192,1192
1193,1193
1194,1194
1195,1195
1196,1196
1197,1197
1198,1198
1199,1199
1200,1200
1201,1201
1202,1202
1203,1203
1204,1204
1205,1205
1206,1206
1207,1207
1208,1208
1209,1209
1210,1210
1211,1211
1212,1212
1213,1213
1214,1214
1215,1215
1216,1216
1217,1217
1218,1218
1219,1219
1220,1220
1221,1221
1222,1222
1223,1223
1224,1224
1225,1225
1226,1226
1227,1227
1228,1228
1229,1229
1230,1230
1231,1231
1232,1232
1233,1233
1234,1234
1235,1235
1236,1236
1237,1237
1238,1238
1239,1239
1240,1240
1241,1241
1242,1242
1243,1243
1244,1244
1245,1245
1246,1246
1247,1247
1248,1248
1249,1249
1250,1250
1251,1251
1252,1252
1253,1253
1254,1254
1255,1255
1256,1256
1257,1257
1258,1258
1259,1259
1260,1260
1261,1261
1262,1262
1263,1263
1264,1264
1265,1265
1266,1266
1267,1267
1268,1268
1269,1269
1270,1270
1271,1271
1272,1272
1273,1273
1274,1274
1275,1275
1276,1276
1277,1277
1278,1278
1279,1279
1280,1280
1281,1281
1282,1282
1283,1283
1284,1284
1285,1285
1286,1286
1287,1287
1288,1288
1289,1289
1290,1290
1291,1291
1292,1292
1293,1293
1294,1294
1295,1295
1296,1296
1297,1297
1298,1298
1299,1299
1300,1300
1301,1301
1302,1302
1303,1303
1304,1304
1305,1305
1306,1306
1307,1307
1308,1308
1309,1309
1310,1310
1311,1311
1312,1312
1313,1313
1314,1314
1315,1315
1316,1316
1317,1317
1318,1318
1319,1319
1320,1320
1321,1321
1322,1322
1323,1323
1324,1324
1325,1325
1326,1326
1327,1327
1328,1328
1329,1329
1330,1330
1331,1331
1332,1332
1333,1333
1334,1334
1335,1335
1336,1336
1337,1337
1338,1338
1339,1339
1340,1340
1341,1341
1342,1342
1343,1343
1344,1344
1345,1345
1346,1346
1347,1347
1348,1348
1349,1349
1350,1350
1351,1351
1352,1352
1353,1353
1354,1354
1355,1355
1356,1356
1357,1357
1358,1358
1359,1359
1360,1360
1361,1361
1362,1362
1363,1363
1364,1364
1365,1365
1366,1366
1367,1367
1368,1368
1369,1369
1370,1370
1371,1371
1372,1372
1373,1373
1374,1374
1375,1375
1376,1376
1377,1377
1378,1378
1379,1379
1380,1380
1381,1381
1382,1382
1383,1383
1384,1384
1385,1385
1386,1386
1387,1387
1388,1388
1389,1389
1390,1390
1391,1391
1392,1392
1393,1393
1394,1394
1395,1395
1396,1396
1397,1397
1398,1398
1399,1399
1400,1400
1401,1401
1402,1402
1403,1403
1404,1404
1405,1405
1406,1406
1407,1407
1408,1408
1409,1409
1410,1410
1411,1411
1412,1412
1413,1413
1414,1414
1415,1415
1416,1416
1417,1417
1418,1418
1419,1419
1420,1420
1421,1421
1422,1422
1423,1423
1424,1424
1425,1425
1426,1426
1427,1427
1428,1428
1429,1429
1430,1430
1431,1431
1432,1432
1433,1433
1434,1434
1435,1435
1436,1436
1437,1437
1438,1438
1439,1439
1440,1440
1441,1441
1442,1442
1443,1443
1444,1444
1445,1445
1446,1446
1447,1447
1448,1448
1449,1449
1450,1450
1451,1451
1452,1452
1453,1453
1454,1454
1455,1455
1456,1456
1457,1457
1458,1458
1459,1459
1460,1460
1461,1461
1462,1462
1463,1463
1464,1464
1465,1465
1466,1466
1467,1467
1468,1468
1469,1469
1470,1470
1471,1471
1472,1472
1473,1473
1474,1474
1475,1475
1476,1476
1477,1477
1478,1478
1479,1479
1480,1480
1481,1481
1482,1482
1483,1483
1484,1484
1485,1485
1486,1486
1487,1487
1488,1488
1489,1489
1490,1490
1491,1491
1492,1492
1493,1493
1494,1494
1495,1495
1496,1496
1497,1497
1498,1498
1499,1499
1500,1500
1501,1501
1502,1502
1503,1503
1504,1504
1505,1505
1506,1506
1507,1507
1508,1508
1509,1509
1510,1510
1511,1511
1512,1512
1513,1513
1514,1514
1515,1515
1516,1516
1517,1517
1518,1518
1519,1519
1520,1520
1521,1521
1522,1522
1523,1523
1524,1524
1525,1525
1526,1526
1527,1527
1528,1528
1529,1529
1530,1530
1531,1531
1532,1532
1533,1533
1534,1534
1535,1535
1536,1536
1537,1537
1538,1538
1539,1539
1540,1540
1541,1541
1542,1542
1543,1543
1544,1544
1545,1545
1546,1546
1547,1547
1548,1548
1549,1549
1550,1550
1551,1551
1552,1552
1553,1553
1554,1554
1555,1555
1556,1556
1557,1557
1558,1558
1559,1559
1560,1560
1561,1561
1562,1562
1563,1563
1564,1564
1565,1565
1566,1566
1567,1567
1568,1568
1569,1569
1570,1570
1571,1571
1572,1572
1573,1573
1574,1574
1575,1575
1576,1576
1577,1577
1578,1578
1579,1579
1580,1580
1581,1581
1582,1582
1583,1583
1584,1584
1585,1585
1586,1586
1587,1587
1588,1588
1589,1589
1590,1590
1591,1591
1592,1592
1593,1593
1594,1594
1595,1595
1596,1596
1597,1597
1598,1598
1599,1599
1600,1600
1601,1601
1602,1602
1603,1603
1604,1604
1605,1605
1606,1606
1607,1607
1608,1608
1609,1609
1610,1610
1611,1611
1612,1612
1613,1613
1614,1614
1615,1615
1616,1616
1617,1617
1618,1618
1619,1619
1620,1620
1621,1621
1622,1622
1623,1623
1624,1624
1625,1625
1626,1626
1627,1627
1628,1628
1629,1629
1630,1630
1631,1631
1632,1632
1633,1633
1634,1634
1635,1635
1636,1636
1637,1637
1638,1638
1639,1639
1640,1640
1641,1641
1642,1642
1643,1643
1644,1644
1645,1645
1646,1646
1647,1647
1648,1648
1649,1649
1650,1650
1651,1651
1652,1652
1653,1653
1654,1654
1655,1655
1656,1656
1657,1657
1658,1658
1659,1659
1660,1660
1661,1661
1662,1662
1663,1663
1664,1664
1665,1665
1666,1666
1667,1667
1668,1668
1669,1669
1670,1670
1671,1671
1672,1672
1673,1673
1674,1674
1675,1675
1676,1676
1677,1677
1678,1678
1679,1679
1680,1680
1681,1681
1682,1682
1683,1683
1684,1684
1685,1685
1686,1686
1687,1687
1688,1688
1689,1689
1690,1690
1691,1691
1692,1692
1693,1693
1694,1694
1695,1695
1696,1696
1697,1697
1698,1698
1699,1699
1700,1700
1701,1701
1702,1702
1703,1703
1704,1704
1705,1705
1706,1706
1707,1707
1708,1708
1709,1709
1710,1710
1711,1711
1712,1712
1713,1713
1714,1714
1715,1715
1716,1716
1717,1717
1718,1718
1719,1719
1720,1720
1721,1721
1722,1722
1723,1723
1724,1724
1725,1725
1726,1726
1727,1727
1728,1728
1729,1729
1730,1730
1731,1731
1732,1732
1733,1733
1734,1734
1735,1735
1736,1736
1737,1737
1738,1738
1739,1739
1740,1740
1741,1741
1742,1742
1743,1743
1744,1744
1745,1745
1746,1746
1747,1747
1748,1748
1749,1749
1750,1750
1751,1751
1752,1752
1753,1753
1754,1754
1755,1755
1756,1756
1757,1757
1758,1758
1759,1759
1760,1760
1761,1761
1762,1762
1763,1763
1764,1764
1765,1765
1766,1766
1767,1767
1768,1768
1769,1769
1770,1770
1771,1771
1772,1772
1773,1773
1774,1774
1775,1775
1776,1776
1777,1777
1778,1778
1779,1779
1780,1780
1781,1781
1782,1782
1783,1783
1784,1784
1785,1785
1786,1786
1787,1787
1788,1788
1789,1789
1790,1790
1791,1791
1792,1792
1793,1793
1794,1794
1795,1795
1796,1796
1797,1797
1798,1798
1799,1799
1800,1800
1801,1801
1802,1802
1803,1803
1804,1804
1805,1805
1806,1806
1807,1807
1808,1808
1809,1809
1810,1810
1811,1811
1812,1812
1813,1813
1814,1814
1815,1815
1816,1816
1817,1817
1818,1818
1819,1819
1820,1820
1821,1821
1822,1822
1823,1823
1824,1824
1825,1825
1826,1826
1827,1827
1828,1828
1829,1829
1830,1830
1831,1831
1832,1832
1833,1833
1834,1834
1835,1835
1836,1836
1837,1837
1838,1838
1839,1839
1840,1840
1841,1841
1842,1842
1843,1843
1844,1844
1845,1845
1846,1846
1847,1847
1848,1848
1849,1849
1850,1850
1851,1851
1852,1852
1853,1853
1854,1854
1855,1855
1856,1856
1857,1857
1858,1858
1859,1859
1860,1860
1861,1861
1862,1862
1863,1863
1864,1864
1865,1865
1866,1866
1867,1867
1868,1868
1869,1869
1870,1870
1871,1871
1872,1872
1873,1873
1874,1874
1875,1875
1876,1876
1877,1877
1878,1878
1879,1879
1880,1880
1881,1881
1882,1882
1883,1883
1884,1884
1885,1885
1886,1886
1887,1887
1888,1888
1889,1889
1890,1890
1891,1891
1892,1892
1893,1893
1894,1894
1895,1895
1896,1896
1897,1897
1898,1898
1899,1899
1900,1900
1901,1901
1902,1902
1903,1903
1904,1904
1905,1905
1906,1906
1907,1907
1908,1908
1909,1909
1910,1910
1911,1911
1912,1912
1913,1913
1914,1914
1915,1915
1916,1916
1917,1917
1918,1918
1919,1919
1920,1920
1921,1921
1922,1922
1923,1923
1924,1924
1925,1925
1926,1926
1927,1927
1928,1928
1929,1929
1930,1930
1931,1931
1932,1932
1933,1933
1934,1934
1935,1935
1936,1936
1937,1937
1938,1938
1939,1939
1940,1940
1941,1941
1942,1942
1943,1943
1944,1944
1945,1945
1946,1946
1947,1947
1948,1948
1949,1949
1950,1950
1951,1951
1952,1952
1953,1953
1954,1954
1955,1955
1956,1956
1957,1957
1958,1958
1959,1959
1960,1960
1961,1961
1962,1962
1963,1963
1964,1964
1965,1965
1966,1966
1967,1967
1968,1968
1969,1969
1970,1970
1971,1971
1972,1972
1973,1973
1974,1974
1975,1975
1976,1976
1977,1977
1978,1978
1979,1979
1980,1980
1981,1981
1982,1982
1983,1983
1984,1984
1985,1985
1986,1986
1987,1987
1988,1988
1989,1989
1990,1990
1991,1991
1992,1992
1993,1993
1994,1994
1995,1995
1996,1996
1997,1997
1998,1998
1999,1999
2000,2000
2001,2001
2002,2002
2003,2003
2004,2004
2005,2005
2006,2006
2007,2007
2008,2008
2009,2009
2010,2010
2011,2011
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2017,2017
2018,2018
2019,2019
2020,2020
2021,2021
2022,2022
2023,2023
2024,2024
2025,2025
2026,2026
2027,2027
2028,2028
2029,2029
2030,2030
2031,2031
2032,2032
2033,2033
2034,2034
2035,2035
2036,2036
2037,2037
2038,2038
2039,2039
2040,2040
2041,2041
2042,2042
2043,2043
2044,2044
2045,2045
2046,2046
2047,2047
2048,2048
2049,2049
2050,2050
2051,2051
2052,2052
2053,2053
2054,2054
2055,2055
2056,2056
2057,2057
2058,2058
2059,2059
2060,2060
2061,2061
2062,2062
2063,2063
2064,2064
2065,2065
2066,2066
2067,2067
2068,2068
2069,2069
2070,2070
2071,2071
2072,2072
2073,2073
2074,2074
2075,2075
2076,2076
2077,2077
2078,2078
2079,2079
2080,2080
2081,2081
2082,2082
2083,2083
2084,2084
2085,2085
2086,2086
2087,2087
2088,2088
2089,2089
2090,2090
2091,2091
2092,2092
2093,2093
2094,2094
2095,2095
2096,2096
2097,2097
2098,2098
2099,2099
2100,2100
2101,2101
2102,2102
2103,2103
2104,2104
2105,2105
2106,2106
2107,2107
2108,2108
2109,2109
2110,2110
2111,2111
2112,2112
2113,2113
2114,2114
2115,2115
2116,2116
2117,2117
2118,2118
2119,2119
2120,2120
2121,2121
2122,2122
2123,2123
2124,2124
2125,2125
2126,2126
2127,2127
2128,2128
2129,2129
2130,2130
2131,2131
2132,2132
2133,2133
2134,2134
2135,2135
2136,2136
2137,2137
2138,2138
2139,2139
2140,2140
2141,2141
2142,2142
2143,2143
2144,2144
2145,2145
2146,2146
2147,2147
2148,2148
2149,2149
2150,2150
2151,2151
2152,2152
2153,2153
2154,2154
2155,2155
2156,2156
2157,2157
2158,2158
2159,2159
2160,2160
2161,2161
2162,2162
2163,2163
2164,2164
2165,2165
2166,2166
2167,2167
2168,2168
2169,2169
2170,2170
2171,2171
2172,2172
2173,2173
2174,2174
2175,2175
2176,2176
2177,2177
2178,2178
2179,2179
2180,2180
2181,2181
2182,2182
2183,2183
2184,2184
2185,2185
2186,2186
2187,2187
2188,2188
2189,2189
2190,2190
2191,2191
2192,2192
2193,2193
2194,2194
2195,2195
2196,2196
2197,2197
2198,2198
2199,2199
2200,2200
2201,2201
2202,2202
2203,2203
2204,2204
2205,2205
2206,2206
2207,2207
2208,2208
2209,2209
2210,2210
2211,2211
2212,2212
2213,2213
2214,2214
2215,2215
2216,2216
2217,2217
2218,2218
2219,2219
2220,2220
2221,2221
2222,2222
2223,2223
2224,2224
2225,2225
2226,2226
2227,2227
2228,2228
2229,2229
2230,2230
2231,2231
2232,2232
2233,2233
2234,2234
2235,2235
2236,2236
2237,2237
2238,2238
2239,2239
2240,2240
2241,2241
2242,2242
2243,2243
2244,2244
2245,2245
2246,2246
2247,2247
2248,2248
2249,2249
2250,2250
2251,2251
2252,2252
2253,2253
2254,2254
2255,2255
2256,2256
2257,2257
2258,2258
2259,2259
2260,2260
2261,2261
2262,2262
2263,2263
2264,2264
2265,2265
2266,2266
2267,2267
2268,2268
2269,2269
2270,2270
2271,2271
2272,2272
2273,2273
2274,2274
2275,2275
2276,2276
2277,2277
2278,2278
2279,2279
2280,2280
2281,2281
2282,2282
2283,2283
2284,2284
2285,2285
2286,2286
2287,2287
2288,2288
2289,2289
2290,2290
2291,2291
2292,2292
2293,2293
2294,2294
2295,2295
2296,2296
2297,2297
2298,2298
2299,2299
2300,2300
2301,2301
2302,2302
2303,2303
2304,2304
2305,2305
2306,2306
2307,2307
2308,2308
2309,2309
2310,2310
2311,2311
2312,2312
2313,2313
2314,2314
2315,2315
2316,2316
2317,2317
2318,2318
2319,2319
2320,2320
2321,2321
2322,2322
2323,2323
2324,2324
2325,2325
2326,2326
2327,2327
2328,2328
2329,2329
2330,2330
2331,2331
2332,2332
2333,2333
2334,2334
2335,2335
2336,2336
2337,2337
2338,2338
2339,2339
2340,2340
2341,2341
2342,2342
2343,2343
2344,2344
2345,2345
2346,2346
2347,2347
2348,2348
2349,2349
2350,2350
2351,2351
2352,2352
2353,2353
2354,2354
2355,2355
2356,2356
2357,2357
2358,2358
2359,2359
2360,2360
2361,2361
2362,2362
2363,2363
2364,2364
2365,2365
2366,2366
2367,2367
2368,2368
2369,2369
2370,2370
2371,2371
2372,2372
2373,2373
2374,2374
2375,2375
2376,2376
2377,2377
2378,2378
2379,2379
2380,2380
2381,2381
2382,2382
2383,2383
2384,2384
2385,2385
2386,2386
2387,2387
2388,2388
2389,2389
2390,2390
2391,2391
2392,2392
2393,2393
2394,2394
2395,2395
2396,2396
2397,2397
2398,2398
2399,2399
2400,2400
2401,2401
2402,2402
2403,2403
2404,2404
2405,2405
2406,2406
2407,2407
2408,2408
2409,2409
2410,2410
2411,2411
2412,2412
2413,2413
2414,2414
2415,2415
2416,2416
2417,2417
2418,2418
2419,2419
2420,2420
2421,2421
2422,2422
2423,2423
2424,2424
2425,2425
2426,2426
2427,2427
2428,2428
2429,2429
2430,2430
2431,2431
2432,2432
2433,2433
2434,2434
2435,2435
2436,2436
2437,2437
2438,2438
2439,2439
2440,2440
2441,2441
2442,2442
2443,2443
2444,2444
2445,2445
2446,2446
2447,2447
2448,2448
2449,2449
2450,2450
2451,2451
2452,2452
2453,2453
2454,2454
2455,2455
2456,2456
2457,2460
2458,2463
2459,2465
2460,2470
2461,2472
2462,2475
2463,2478
2464,2480
2465,2484
2466,2487
2467,2488
2468,2501
2469,2505
2470,2506
2471,2508
2472,2513
2473,2514
2474,2517
2475,2521
2476,2524
2477,2529
2478,2531
2479,2533
2480,2541
2481,2542
2482,2548
2483,2550
2484,2557
2485,2558
2486,2564
2487,2565
2488,2566
2489,2568
2490,2572
2491,2573
2492,2577
2493,2579
2494,2581
2495,2582
2496,2585
2497,2593
2498,2596
2499,2600
2500,2621
2501,2622
2502,2624
2503,2625
2504,2636
2505,2639
2506,2642
2507,2647
2508,2650
2509,2656
2510,2660
2511,2665
2512,2667
2513,2669
2514,2673
2515,2674
2516,2677
2517,2678
2518,2679
2519,2682
2520,2683
2521,2687
2522,2694
2523,2695
2524,2697
2525,2699
2526,2701
2527,2702
2528,2713
2529,2719
2530,2722
2531,2723
2532,2724
2533,2725
2534,2727
2535,2730
2536,2731
2537,2734
2538,2735
2539,2736
2540,2737
2541,2740
2542,2746
2543,2757
2544,2758
2545,2760
2546,2763
2547,2764
2548,2774
2549,2776
2550,2781
2551,2782
2552,2793
2553,2794
2554,2802
2555,2803
2556,2805
2557,2816
2558,2821
2559,2827
2560,2830
2561,2834
2562,2837
2563,2839
2564,2840
2565,2841
2566,2845
2567,2848
2568,2852
2569,2854
2570,2859
2571,2862
2572,2864
2573,2867
2574,2870
2575,2873
2576,2877
2577,2878
2578,2879
2579,2894
2580,2895
2581,2896
2582,2897
2583,2903
2584,2904
2585,2906
2586,2908
2587,2909
2588,2926
2589,2931
2590,2933
2591,2934
2592,2937
2593,2939
2594,2940
2595,2941
2596,2942
2597,2948
2598,2949
2599,2950
2600,2951
2601,2953
2602,2956
2603,2959
2604,2966
2605,2969
2606,2970
2607,2974
2608,2975
2609,2996
2610,2997
2611,3001
2612,3004
2613,3009
2614,3010
2615,3012
2616,3014
2617,3015
2618,3016
2619,3019
2620,3020
2621,3022
2622,3026
2623,3030
2624,3034
2625,3035
2626,3036
2627,3038
2628,3039
2629,3042
2630,3043
2631,3046
2632,3047
2633,3048
2634,3049
2635,3054
2636,3059
2637,3065
2638,3066
2639,3068
2640,3070
2641,3071
2642,3075
2643,3079
2644,3086
2645,3088
2646,3090
2647,3091
2648,3110
2649,3112
2650,3113
2651,3120
2652,3122
2653,3124
2654,3128
2655,3130
2656,3131
2657,3138
2658,3146
2659,3147
2660,3149
2661,3158
2662,3162
2663,3179
2664,3180
